Nilai;Kurs Jual;Tanggal
1;14956.41;8/23/2022
1;15065.19;8/22/2022
1;15141.9;8/19/2022
1;15078.28;8/18/2022
1;15148.46;8/16/2022
1;15195.43;8/15/2022
1;15356.37;08/12/2022
1;15257.34;08/11/2022
1;15257.44;08/10/2022
1;15298.37;08/09/2022
1;15327.52;08/08/2022
1;15272.22;08/05/2022
1;15271.92;08/04/2022
1;15305.08;08/03/2022
1;15298.16;08/02/2022
1;15286.75;08/01/2022
1;15349.98;7/29/2022
1;15306.43;7/28/2022
1;15391.72;7/27/2022
1;15353.23;7/26/2022
1;15313.53;7/25/2022
1;15387.88;7/22/2022
1;15396.24;7/21/2022
1;15430.07;7/20/2022
1;15280.82;7/19/2022
1;15120.73;7/18/2022
1;15129.77;7/15/2022
1;15123.17;7/14/2022
1;15083.04;7/13/2022
1;15215.34;07/12/2022
1;15232.06;07/11/2022
1;15368.17;07/08/2022
1;15461.3;07/07/2022
1;15527.44;07/06/2022
1;15694.83;07/05/2022
1;15731.21;07/04/2022
1;15617.48;07/01/2022
1;15690.74;6/30/2022
1;15796.91;6/29/2022
1;15750.72;6/28/2022
1;15731.89;6/27/2022
1;15648.68;6/24/2022
1;15689.98;6/23/2022
1;15739.46;6/22/2022
1;15700.42;6/21/2022
1;15683.01;6/20/2022
1;15420.63;6/17/2022
1;15550.34;6/16/2022
1;15489.49;6/15/2022
1;15447.24;6/14/2022
1;15545.25;6/13/2022
1;15672.2;06/10/2022
1;15544.57;06/09/2022
1;15529.15;06/08/2022
1;15627.29;06/07/2022
1;15598.15;06/06/2022
1;15597.18;06/03/2022
1;15732.57;06/02/2022
1;15731.98;5/31/2022
1;15720.4;5/30/2022
1;15705.82;5/27/2022
1;15770.36;5/25/2022
1;15697.8;5/24/2022
1;15581.53;5/23/2022
1;15538.97;5/20/2022
1;15512.36;5/19/2022
1;15447.22;5/18/2022
1;15290.07;5/17/2022
1;15313.14;5/13/2022
1;15456.38;05/12/2022
1;15460.77;05/11/2022
1;15350.15;05/10/2022
1;15304.76;05/09/2022
1;15347.9;4/28/2022
1;15473.32;4/27/2022
1;15604.86;4/26/2022
1;15583.1;4/25/2022
1;15750.68;4/22/2022
1;15637.16;4/21/2022
1;15585.22;4/20/2022
1;15574.79;4/19/2022
1;15730.15;4/18/2022
1;15637.21;4/14/2022
1;15683.07;4/13/2022
1;15757.5;04/12/2022
1;15691.39;04/11/2022
1;15699.27;04/08/2022
1;15768.25;04/07/2022
1;15821.34;04/06/2022
1;15908.95;04/05/2022
1;15963.13;04/04/2022
1;16059.24;04/01/2022
1;16086.35;3/31/2022
1;15854.86;3/30/2022
1;15854.78;3/29/2022
1;15877.04;3/28/2022
1;15850.11;3/25/2022
1;15891.0;3/24/2022
1;15878.54;3/23/2022
1;15936.13;3/22/2022
1;15949.43;3/21/2022
1;15875.15;3/18/2022
1;15809.31;3/17/2022
1;15836.19;3/16/2022
1;15776.25;3/15/2022
1;15783.65;3/14/2022
1;15884.03;03/11/2022
1;15814.93;03/10/2022
1;15772.25;03/09/2022
1;15737.29;03/08/2022
